id,json
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
15,"[9,5,1,2,15,13,11,10,3,16,14,7,6,4,12]"
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]"
